material
CUB ACC;RED INSULATING VARNISH
INVERTER;480VAC;480VAC;3P;2HP
UNIV ACC;ISOLASI RUBBER
"UNIV ACC;PAINT BRUSH 2.5"""
UNIV ACC;ISOLASI SCOTH 3M 33mm
UNIV ACC;ISOLASI SCOTH 3M 23mm
UNIV ACC;AQUADES
UNIV ACC;SEAL TAPE
UNIV ACC;BATTERY 9V
UNIV ACC;BATTERY AAA 1.5V
UNIV ACC;MEDIUM PLASTIC BUCKET
UNIV ACC;HORN SIRINE 220VAC
"UNIV ACC;KLEM SELANG 2"""
TOOL M;STEEL RULER 30CM
BIOMASS;WOOD CHIPS;1-3CM
LUBE;S;OMEGA 690 SAE 90
LUBE;S;OMEGA 612 SAE 10
LUBE;S;OMEGA 917
LUBE;S;GARDNER DENVER ISO VG68
FTR REG;NOR;63000604D3;B73G2AK
FLANGE;KOM;D155A;737131255
FLANGE;KOM;D155A;737131049
BRAKE SHOE;NSN;CGB45A;41030NA3
TORQUE ROD;NSN;CGB45A;55554200
TORQUE ROD;NSN;CGB45A;55554200
DSPLY MDL;CON;63000604D3;INS63
COVER CLUTCH;NSN;CGB45A;302039
DISC ASSY;NSN;CGB45A;30100NA08
BOSTER CLUTCH;NSN;CGB45A;30705
CYLINDER;NSN;CGB45A;4680100Z05
FILTER;OIL;0.5 MICRON
FILTER;OIL;10 MICRON PREFILTER
FILTER;OIL;P-COS-L-24-A-200W
FILTER;SEA WATER;STRAINER 270X
FILTER;WATER;63X28X1015MM-5µ
FILTER;WATER;80MICRON
TRANS ACC;CHAIN RS-140 140mm
TRANS ACC;SPROCKET RS-140 140m
TRANS ACC;COUPLING FLUID 13KRB
TRANS ACC;COUPLING FLUID 15KRB
"COUPLING ACC;HYJOINT 2"" 50mm"
TRANS ACC;COUPLING FLUID 15KRG
TRANS ACC;SPROCKET MOVED RS140
UNIV ACC;V-BELT C102
UNIV ACC;V-BELT C110
BEARING;BALL;22334CCJA/W33VA40
UNIV ACC;WELDING CABLE 500A
UNIV ACC;CUTTING WHEEL 100X6X1
"UNIV ACC;CUTTING WHEEL 4""X2mm"
"UNIV ACC;CUTTING WHEEL 4""X4MM"
"UNIV ACC;CUTTING WHEEL 3X4"""
UNIV ACC;MATA GERINDA AMPLAS 4
BRAKE SHOE;NSN;CGB45A;41030NA3
SWT;NSN;CGB45A;2540000Z05
HOSE;NSN;CGB45A;14092NB061
HOSE;NSN;CGB45A;14093NB019
HOSE;NSN;CGB45A;2150401Z14
HOSE;NSN;CGB45A;2150596073
TORQUE ROD;NSN;CGB45A;5550200Z
TORQUE ROD;NSN;CGB45A;5550200Z
SWT;NSN;CGB45A;2531000Z03
SEN;NSN;CGB45A;2595396008
CONDENSR;NSN;CGB45A;92122Z9002
CHAMBER;NSN;CGB45A;4432090467
MIRROR ASS;NSN;CGB45A;96301Z51
MIRROR ASS;NSN;CGB45A;9630100Z
CONVEYOR ACC;CARRIER IDLER 114X275X305m
CONVEYOR ACC;CARRIER IDLER 114X315X345m
CONVEYOR ACC;CARRIER IDLER 139X420X460m
CONVEYOR ACC;GUIDE 350 IDLER 9
CONVEYOR ACC;IMPACT IDLER 115X
CONVEYOR ACC;PSK 250 IDLER 89X
CONVEYOR ACC;RTRN IDLER 165X15
CONVEYOR ACC;TROUGH IDLER 114X
CONVEYOR ACC;CARRIER IDLER 115
CONVEYOR ACC;IMPACT IDLER 115X
CONVEYOR ACC;IMPACT IDLER 115X
UNIV ACC;WIRE ROPE GALVANIS 4.
UNIV ACC;PANEL MOUNT EXHAUST F
FTR ELM;CMA;D37H;A13316774
WTR FTR;CMA;D37H;100013124
SEAL;CMA;D37H;100013908
WTR FTR;CMA;D37H;100005701
VALVE;CMA;D37H;100011295
CVR GASKET;CMA;D37H;100012522
VALVE;CMA;D37H;100011770
FTR ELM;CMA;D37H;100013220
WTR FTR;CMA;D37HRS;100005701
VALVE;CMA;D37HRS;100011295
CVR GASKET;CMA;D37HRS;10001252
WTR FTR;CMA;D37HRS;100013124
WTR FTR;CMA;D37HRS;100013908
FTR ELM;CMA;D37HRS;A13316774
FTR PAD;CMA;D37HRS;ZS1086526
VALVE;CMA;D37HRS;100011770
FTR ELM;CMA;D37HRS;100013220
VALVE;CMA;D132RS;100005704
COIL;CMA;D132RS;100010373
REGULATOR;CMA;D132RS;98262169
DIAPHRAGM;CMA;D132RS;C2140361
DIAPHRAGM;CMA;D132RS;C2140561
CARTRIDGE;CMA;D132RS;SCWG40002
FTR PAD;CMA;D132RS;ZS1054410
OIL FTR;CMA;D132RS;ZS1091610
FTR ELM;CMA;D132RS;ZS1102307
FTR;CMA;D132RS;ZS1104905
VALVE;CMA;D250BW;100005704
SOLENOID COIL;CMA;D250BW;10001
CARTRIDGE;CMA;D250BW;SCWG40002
FTR PAD;CMA;D250BW;ZS1051760
FTR PAD;CMA;D250BW;ZS1062472
FTR ELM;CMA;D250BW;ZS1087942
OIL FTR CATRIDGE;CMA;D250BW;ZS
AIR FTR ELM;CMA;D250BW;ZS11221
THERMAL SWITCH;CMA;D250BW;ZS11
FTR ELM;CMA;D250BW;ZS1175647
PUMP ACC;STRAINER BFP 209X204X
BOILER ACC;NOZZLE TUBE 304L 62
HOSE;PLASTIC;6mm;SE
HOSE;PLASTIC;8mm;SE
UNIV ACC;DETERGENT 900GR
HOSE;KOM;D155A;711401409
HOSE;KOM;D155A;711801223
HOSE;KOM;D155A;711801225
HOSE;KOM;D155A;711901012
HOSE;KOM;D155A;711401013
HOSE;KOM;D155A;711001012
HOSE;KOM;D155A;711401011
HOSE;KOM;D155A;711401006
HOSE;PLASTIC;10X100mm;SE
"UNIV ACC;HOSE CLAMP 1"""
"UNIV ACC;SELANG NYLON 1"""
"UNIV ACC;HOSE CLAMP 3/4"""
"HOSE;YARN;3/4"";SC"
"UNIV ACC;PUSH-IN FITTING THREAD 1/4"" 8m"
"UNIV ACC;PUSH-IN FITTING THREAD 1/4""10m"
"UNIV ACC;PUSH-IN FITTING THREAD 1/8"" 8m"
JOINT;EXPANSION;FABRIC;930X120
JOINT;EXPANSION;FABRIC;1100X27
"VALVE TP;SOLENOID;M14909;3/4""N"
SOLENOID;ASC;63000604D3;8344G0
UNIV ACC;REGULATOR ACETYLENE
UNIV ACC;REGULATOR OXYGEN
"VALVE;BALL;3/4"";DN20;150;TE"
VALVE ACC;SEAT CUTTER
TOOL M;ELECTRODE HOLDER 500/60
TOOL M;ELECTRODE HOLDER 800A
TOOL M;GRINDING DISC METAL 180
UNIV ACC;DRILL BIT;1-13mm
TOOL M;REPAIR KIT 39X59-SS-VB
